LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
SVN,ROADACCID,DEATH,NBR,A,1994,505,
SVN,ROADACCID,DEATH,NBR,A,1995,415,
SVN,ROADACCID,DEATH,NBR,A,1996,389,
SVN,ROADACCID,DEATH,NBR,A,1997,357,
SVN,ROADACCID,DEATH,NBR,A,1998,309,
SVN,ROADACCID,DEATH,NBR,A,1999,334,
SVN,ROADACCID,DEATH,NBR,A,2000,313,
SVN,ROADACCID,DEATH,NBR,A,2001,278,
SVN,ROADACCID,DEATH,NBR,A,2002,268,
SVN,ROADACCID,DEATH,NBR,A,2003,242,
SVN,ROADACCID,DEATH,NBR,A,2004,274,
SVN,ROADACCID,DEATH,NBR,A,2005,258,
SVN,ROADACCID,DEATH,NBR,A,2006,262,
SVN,ROADACCID,DEATH,NBR,A,2007,293,
SVN,ROADACCID,DEATH,NBR,A,2008,214,
SVN,ROADACCID,DEATH,NBR,A,2009,171,
SVN,ROADACCID,DEATH,NBR,A,2010,138,
SVN,ROADACCID,DEATH,NBR,A,2011,141,
SVN,ROADACCID,DEATH,NBR,A,2012,130,
SVN,ROADACCID,DEATH,NBR,A,2013,125,
SVN,ROADACCID,DEATH,NBR,A,2014,108,
SVN,ROADACCID,DEATH,NBR,A,2015,120,
SVN,ROADACCID,DEATH,NBR,A,2016,130,
SVN,ROADACCID,DEATH,NBR,A,2017,104,
SVN,ROADACCID,DEATH,NBR,A,2018,91,
SVN,ROADACCID,DEATH,NBR,A,2019,102,
EST,ROADACCID,DEATH,NBR,A,1994,364,
EST,ROADACCID,DEATH,NBR,A,1995,332,
EST,ROADACCID,DEATH,NBR,A,1996,213,
EST,ROADACCID,DEATH,NBR,A,1997,279,
EST,ROADACCID,DEATH,NBR,A,1998,284,
EST,ROADACCID,DEATH,NBR,A,1999,232,
EST,ROADACCID,DEATH,NBR,A,2000,204,
EST,ROADACCID,DEATH,NBR,A,2001,199,
EST,ROADACCID,DEATH,NBR,A,2002,223,
EST,ROADACCID,DEATH,NBR,A,2003,164,
EST,ROADACCID,DEATH,NBR,A,2004,170,
EST,ROADACCID,DEATH,NBR,A,2005,170,
EST,ROADACCID,DEATH,NBR,A,2006,204,
EST,ROADACCID,DEATH,NBR,A,2007,196,
EST,ROADACCID,DEATH,NBR,A,2008,132,
EST,ROADACCID,DEATH,NBR,A,2009,100,
EST,ROADACCID,DEATH,NBR,A,2010,79,
EST,ROADACCID,DEATH,NBR,A,2011,101,
EST,ROADACCID,DEATH,NBR,A,2012,87,
EST,ROADACCID,DEATH,NBR,A,2013,81,
EST,ROADACCID,DEATH,NBR,A,2014,78,
EST,ROADACCID,DEATH,NBR,A,2015,67,
EST,ROADACCID,DEATH,NBR,A,2016,71,
EST,ROADACCID,DEATH,NBR,A,2017,48,
EST,ROADACCID,DEATH,NBR,A,2018,67,
EST,ROADACCID,DEATH,NBR,A,2019,52,
AUT,ROADACCID,DEATH,NBR,A,1994,1338,
AUT,ROADACCID,DEATH,NBR,A,1995,1210,
AUT,ROADACCID,DEATH,NBR,A,1996,1027,
AUT,ROADACCID,DEATH,NBR,A,1997,1105,
AUT,ROADACCID,DEATH,NBR,A,1998,963,
AUT,ROADACCID,DEATH,NBR,A,1999,1079,
AUT,ROADACCID,DEATH,NBR,A,2000,976,
AUT,ROADACCID,DEATH,NBR,A,2001,958,
AUT,ROADACCID,DEATH,NBR,A,2002,956,
AUT,ROADACCID,DEATH,NBR,A,2003,931,
AUT,ROADACCID,DEATH,NBR,A,2004,878,
AUT,ROADACCID,DEATH,NBR,A,2005,768,
AUT,ROADACCID,DEATH,NBR,A,2006,730,
AUT,ROADACCID,DEATH,NBR,A,2007,691,
AUT,ROADACCID,DEATH,NBR,A,2008,679,
AUT,ROADACCID,DEATH,NBR,A,2009,633,
AUT,ROADACCID,DEATH,NBR,A,2010,552,
AUT,ROADACCID,DEATH,NBR,A,2011,523,
AUT,ROADACCID,DEATH,NBR,A,2012,531,B
AUT,ROADACCID,DEATH,NBR,A,2013,455,
AUT,ROADACCID,DEATH,NBR,A,2014,430,
AUT,ROADACCID,DEATH,NBR,A,2015,479,
AUT,ROADACCID,DEATH,NBR,A,2016,432,
AUT,ROADACCID,DEATH,NBR,A,2017,414,
AUT,ROADACCID,DEATH,NBR,A,2018,409,
AUT,ROADACCID,DEATH,NBR,A,2019,416,
HUN,ROADACCID,DEATH,NBR,A,1994,1562,
HUN,ROADACCID,DEATH,NBR,A,1995,1589,
HUN,ROADACCID,DEATH,NBR,A,1996,1370,
HUN,ROADACCID,DEATH,NBR,A,1997,1391,
HUN,ROADACCID,DEATH,NBR,A,1998,1371,
HUN,ROADACCID,DEATH,NBR,A,1999,1306,
HUN,ROADACCID,DEATH,NBR,A,2000,1200,
HUN,ROADACCID,DEATH,NBR,A,2001,1239,
HUN,ROADACCID,DEATH,NBR,A,2002,1429,
HUN,ROADACCID,DEATH,NBR,A,2003,1326,
HUN,ROADACCID,DEATH,NBR,A,2004,1296,
HUN,ROADACCID,DEATH,NBR,A,2005,1278,
HUN,ROADACCID,DEATH,NBR,A,2006,1303,
HUN,ROADACCID,DEATH,NBR,A,2007,1232,
HUN,ROADACCID,DEATH,NBR,A,2008,996,
HUN,ROADACCID,DEATH,NBR,A,2009,822,
HUN,ROADACCID,DEATH,NBR,A,2010,740,
HUN,ROADACCID,DEATH,NBR,A,2011,638,
HUN,ROADACCID,DEATH,NBR,A,2012,605,
HUN,ROADACCID,DEATH,NBR,A,2013,591,
HUN,ROADACCID,DEATH,NBR,A,2014,626,
HUN,ROADACCID,DEATH,NBR,A,2015,644,
HUN,ROADACCID,DEATH,NBR,A,2016,607,
HUN,ROADACCID,DEATH,NBR,A,2017,625,
HUN,ROADACCID,DEATH,NBR,A,2018,633,
HUN,ROADACCID,DEATH,NBR,A,2019,602,
GEO,ROADACCID,DEATH,NBR,A,1994,494,
GEO,ROADACCID,DEATH,NBR,A,1995,450,
GEO,ROADACCID,DEATH,NBR,A,1996,437,
GEO,ROADACCID,DEATH,NBR,A,1997,449,
GEO,ROADACCID,DEATH,NBR,A,1998,466,
GEO,ROADACCID,DEATH,NBR,A,1999,539,
GEO,ROADACCID,DEATH,NBR,A,2000,500,
GEO,ROADACCID,DEATH,NBR,A,2001,558,
GEO,ROADACCID,DEATH,NBR,A,2002,515,
GEO,ROADACCID,DEATH,NBR,A,2003,572,
GEO,ROADACCID,DEATH,NBR,A,2004,637,
GEO,ROADACCID,DEATH,NBR,A,2005,581,
GEO,ROADACCID,DEATH,NBR,A,2006,675,
GEO,ROADACCID,DEATH,NBR,A,2007,737,
GEO,ROADACCID,DEATH,NBR,A,2008,867,
GEO,ROADACCID,DEATH,NBR,A,2009,738,
GEO,ROADACCID,DEATH,NBR,A,2010,685,
GEO,ROADACCID,DEATH,NBR,A,2011,526,
GEO,ROADACCID,DEATH,NBR,A,2012,605,
GEO,ROADACCID,DEATH,NBR,A,2013,514,
GEO,ROADACCID,DEATH,NBR,A,2014,511,
GEO,ROADACCID,DEATH,NBR,A,2015,602,
GEO,ROADACCID,DEATH,NBR,A,2016,581,
GEO,ROADACCID,DEATH,NBR,A,2017,517,
GEO,ROADACCID,DEATH,NBR,A,2018,459,
GEO,ROADACCID,DEATH,NBR,A,2019,481,
CZE,ROADACCID,DEATH,NBR,A,1994,1637,
CZE,ROADACCID,DEATH,NBR,A,1995,1588,
CZE,ROADACCID,DEATH,NBR,A,1996,1568,
CZE,ROADACCID,DEATH,NBR,A,1997,1597,
CZE,ROADACCID,DEATH,NBR,A,1998,1360,
CZE,ROADACCID,DEATH,NBR,A,1999,1455,
CZE,ROADACCID,DEATH,NBR,A,2000,1486,
CZE,ROADACCID,DEATH,NBR,A,2001,1334,
CZE,ROADACCID,DEATH,NBR,A,2002,1431,
CZE,ROADACCID,DEATH,NBR,A,2003,1447,
CZE,ROADACCID,DEATH,NBR,A,2004,1382,
CZE,ROADACCID,DEATH,NBR,A,2005,1286,
CZE,ROADACCID,DEATH,NBR,A,2006,1063,
CZE,ROADACCID,DEATH,NBR,A,2007,1222,
CZE,ROADACCID,DEATH,NBR,A,2008,1076,
CZE,ROADACCID,DEATH,NBR,A,2009,901,
CZE,ROADACCID,DEATH,NBR,A,2010,802,
CZE,ROADACCID,DEATH,NBR,A,2011,773,
CZE,ROADACCID,DEATH,NBR,A,2012,742,
CZE,ROADACCID,DEATH,NBR,A,2013,654,
CZE,ROADACCID,DEATH,NBR,A,2014,688,
CZE,ROADACCID,DEATH,NBR,A,2015,738,
CZE,ROADACCID,DEATH,NBR,A,2016,611,
CZE,ROADACCID,DEATH,NBR,A,2017,577,
CZE,ROADACCID,DEATH,NBR,A,2018,656,
CZE,ROADACCID,DEATH,NBR,A,2019,618,
MDA,ROADACCID,DEATH,NBR,A,1994,540,
MDA,ROADACCID,DEATH,NBR,A,1995,544,
MDA,ROADACCID,DEATH,NBR,A,1996,554,
MDA,ROADACCID,DEATH,NBR,A,1997,569,
MDA,ROADACCID,DEATH,NBR,A,1998,492,
MDA,ROADACCID,DEATH,NBR,A,1999,396,
MDA,ROADACCID,DEATH,NBR,A,2000,406,
MDA,ROADACCID,DEATH,NBR,A,2001,420,
MDA,ROADACCID,DEATH,NBR,A,2002,412,
MDA,ROADACCID,DEATH,NBR,A,2003,425,
MDA,ROADACCID,DEATH,NBR,A,2004,405,
MDA,ROADACCID,DEATH,NBR,A,2005,391,
MDA,ROADACCID,DEATH,NBR,A,2006,382,
MDA,ROADACCID,DEATH,NBR,A,2007,464,
MDA,ROADACCID,DEATH,NBR,A,2008,509,
MDA,ROADACCID,DEATH,NBR,A,2009,487,
MDA,ROADACCID,DEATH,NBR,A,2010,452,
MDA,ROADACCID,DEATH,NBR,A,2011,443,
MDA,ROADACCID,DEATH,NBR,A,2012,441,
MDA,ROADACCID,DEATH,NBR,A,2013,301,
MDA,ROADACCID,DEATH,NBR,A,2014,324,
MDA,ROADACCID,DEATH,NBR,A,2015,298,
MDA,ROADACCID,DEATH,NBR,A,2016,311,
MDA,ROADACCID,DEATH,NBR,A,2017,302,
MDA,ROADACCID,DEATH,NBR,A,2018,274,
MDA,ROADACCID,DEATH,NBR,A,2019,274,
BIH,ROADACCID,DEATH,NBR,A,1994,149,
BIH,ROADACCID,DEATH,NBR,A,1995,215,
BIH,ROADACCID,DEATH,NBR,A,1996,199,
BIH,ROADACCID,DEATH,NBR,A,1997,230,
BIH,ROADACCID,DEATH,NBR,A,2003,460,
BIH,ROADACCID,DEATH,NBR,A,2004,437,
BIH,ROADACCID,DEATH,NBR,A,2005,384,
BIH,ROADACCID,DEATH,NBR,A,2006,403,
BIH,ROADACCID,DEATH,NBR,A,2007,430,
BIH,ROADACCID,DEATH,NBR,A,2008,434,
BIH,ROADACCID,DEATH,NBR,A,2009,382,
BIH,ROADACCID,DEATH,NBR,A,2010,362,
BIH,ROADACCID,DEATH,NBR,A,2011,356,
BIH,ROADACCID,DEATH,NBR,A,2012,303,
BIH,ROADACCID,DEATH,NBR,A,2013,334,
BIH,ROADACCID,DEATH,NBR,A,2014,297,
BIH,ROADACCID,DEATH,NBR,A,2015,341,
BIH,ROADACCID,DEATH,NBR,A,2016,321,
BIH,ROADACCID,DEATH,NBR,A,2017,298,
BIH,ROADACCID,DEATH,NBR,A,2018,277,
AUS,ROADACCID,DEATH,NBR,A,1994,1928,
AUS,ROADACCID,DEATH,NBR,A,1995,2017,
AUS,ROADACCID,DEATH,NBR,A,1996,1970,
AUS,ROADACCID,DEATH,NBR,A,1997,1767,
AUS,ROADACCID,DEATH,NBR,A,1998,1755,
AUS,ROADACCID,DEATH,NBR,A,1999,1764,
AUS,ROADACCID,DEATH,NBR,A,2000,1817,
AUS,ROADACCID,DEATH,NBR,A,2001,1737,
AUS,ROADACCID,DEATH,NBR,A,2002,1715,
AUS,ROADACCID,DEATH,NBR,A,2003,1621,
AUS,ROADACCID,DEATH,NBR,A,2004,1583,
AUS,ROADACCID,DEATH,NBR,A,2005,1627,
AUS,ROADACCID,DEATH,NBR,A,2006,1598,
AUS,ROADACCID,DEATH,NBR,A,2007,1603,
AUS,ROADACCID,DEATH,NBR,A,2008,1437,
AUS,ROADACCID,DEATH,NBR,A,2009,1491,
AUS,ROADACCID,DEATH,NBR,A,2010,1353,
AUS,ROADACCID,DEATH,NBR,A,2011,1277,
AUS,ROADACCID,DEATH,NBR,A,2012,1300,
AUS,ROADACCID,DEATH,NBR,A,2013,1187,
AUS,ROADACCID,DEATH,NBR,A,2014,1151,
AUS,ROADACCID,DEATH,NBR,A,2015,1204,
AUS,ROADACCID,DEATH,NBR,A,2016,1293,
AUS,ROADACCID,DEATH,NBR,A,2017,1223,
AUS,ROADACCID,DEATH,NBR,A,2018,1137,
AUS,ROADACCID,DEATH,NBR,A,2019,1195,P
AZE,ROADACCID,DEATH,NBR,A,1994,1107,
AZE,ROADACCID,DEATH,NBR,A,1995,990,
AZE,ROADACCID,DEATH,NBR,A,1996,763,
AZE,ROADACCID,DEATH,NBR,A,1997,605,
AZE,ROADACCID,DEATH,NBR,A,1998,594,
AZE,ROADACCID,DEATH,NBR,A,1999,554,
AZE,ROADACCID,DEATH,NBR,A,2000,596,
AZE,ROADACCID,DEATH,NBR,A,2001,559,
AZE,ROADACCID,DEATH,NBR,A,2002,642,
AZE,ROADACCID,DEATH,NBR,A,2003,724,
AZE,ROADACCID,DEATH,NBR,A,2004,811,
AZE,ROADACCID,DEATH,NBR,A,2005,1065,
AZE,ROADACCID,DEATH,NBR,A,2006,1027,
AZE,ROADACCID,DEATH,NBR,A,2007,1107,
AZE,ROADACCID,DEATH,NBR,A,2008,1052,
AZE,ROADACCID,DEATH,NBR,A,2009,930,
AZE,ROADACCID,DEATH,NBR,A,2010,925,
AZE,ROADACCID,DEATH,NBR,A,2011,1016,
AZE,ROADACCID,DEATH,NBR,A,2012,1168,
AZE,ROADACCID,DEATH,NBR,A,2013,1164,
AZE,ROADACCID,DEATH,NBR,A,2014,1124,
AZE,ROADACCID,DEATH,NBR,A,2015,894,
AZE,ROADACCID,DEATH,NBR,A,2016,759,
AZE,ROADACCID,DEATH,NBR,A,2017,750,
AZE,ROADACCID,DEATH,NBR,A,2018,722,
AZE,ROADACCID,DEATH,NBR,A,2019,821,
BLR,ROADACCID,DEATH,NBR,A,1994,1670,
BLR,ROADACCID,DEATH,NBR,A,1995,1781,
BLR,ROADACCID,DEATH,NBR,A,1996,1730,
BLR,ROADACCID,DEATH,NBR,A,1997,1787,
BLR,ROADACCID,DEATH,NBR,A,1998,1849,
BLR,ROADACCID,DEATH,NBR,A,1999,1771,
BLR,ROADACCID,DEATH,NBR,A,2000,1594,
BLR,ROADACCID,DEATH,NBR,A,2001,1596,
BLR,ROADACCID,DEATH,NBR,A,2002,1728,
BLR,ROADACCID,DEATH,NBR,A,2003,1764,
BLR,ROADACCID,DEATH,NBR,A,2004,1688,
BLR,ROADACCID,DEATH,NBR,A,2005,1673,
BLR,ROADACCID,DEATH,NBR,A,2006,1726,
BLR,ROADACCID,DEATH,NBR,A,2007,1518,
BLR,ROADACCID,DEATH,NBR,A,2008,1564,
BLR,ROADACCID,DEATH,NBR,A,2009,1322,
BLR,ROADACCID,DEATH,NBR,A,2010,1190,
BLR,ROADACCID,DEATH,NBR,A,2011,1200,
BLR,ROADACCID,DEATH,NBR,A,2012,1039,
