Year,Count,Year
1970,0.1855282052,1970
1971,0.1984856924,1971
1972,0.182252634,1972
1973,0.23940857,1973
1974,0.28719422,1974
1975,0.29877286,1975
1976,0.3277547276,1976
1977,0.3569464052,1977
1978,0.3998888924,1978
1979,0.45017897,1979
1980,0.4507021428,1980
1981,0.45377342,1981
1982,0.4648672048,1982
1983,0.4852525776,1983
1984,0.5170403428,1984
1985,0.5508323624,1985
1986,0.5903830776,1986
1987,0.6327099924,1987
1988,0.6685379672,1988
1989,0.68730844,1989
1990,0.7162681096,1990
1991,0.8408116924,1991
1992,0.8610260552,1992
1993,0.8486220196,1993
1994,0.9131666024,1994
1995,0.9650009517,1995
1996,1.0262832024,1996
1997,1.0733879452,1997
1998,1.080873058,1998
1999,1.1453457,1999
2000,1.2251020334,2000
2001,1.2283653842,2001
2002,1.207002382,2002
2003,1.2420522306,2003
2004,1.4203983513,2004
2005,1.4915273859,2005
2006,1.5835824904,2006
2007,1.7041106883,2007
2008,1.719625328,2008
2009,1.7672917121,2009
2010,2.1142095972784385,2010
2011,2.2674344651764913,2011
2012,2.379754941659145,2012
2013,2.5210408872396957,2013
2014,2.681071701950579,2014
2015,2.8968555466,2015
2016,3.107290138,2016
2017,3.3525116275633744,2017
2018,3.6055541735928345,2018
2019,3.7420628862690286,2019
