Name,G,MIN,PTS,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,ORB,DRB,TRB,AST,STL,BLK,TO,PF
Dwyane Wade ,0.9473684210526314,0.8787878787878793,1.0000000000000002,0.9999999999999999,0.9999999999999998,0.40703517587939686,0.765625,0.8860759493670888,0.4776536312849162,0.3928571428571429,0.5,0.317,0.17948717948717952,0.25974025974025977,0.22807017543859648,0.6354166666666666,0.75,0.4285714285714286,0.7916666666666667,0.3749999999999999
LeBron James ,0.9824561403508771,0.7878787878787885,0.8615384615384618,0.8035714285714283,0.8055555555555554,0.39698492462311563,0.734375,0.8354430379746837,0.5195530726256983,0.5714285714285715,0.6714285714285714,0.344,0.23076923076923078,0.5714285714285714,0.45614035087719296,0.6041666666666666,0.5416666666666667,0.3571428571428572,0.625,0.125
Kobe Bryant ,1.0,0.6363636363636371,0.7384615384615387,0.8214285714285715,0.8981481481481479,0.28643216080402034,0.515625,0.518987341772152,0.7318435754189945,0.5,0.5857142857142856,0.351,0.17948717948717952,0.28571428571428575,0.24561403508771928,0.36458333333333337,0.4583333333333333,0.14285714285714285,0.4583333333333335,0.3749999999999999
Dirk Nowitzki ,0.9824561403508771,0.7878787878787885,0.6692307692307693,0.7857142857142855,0.8148148148148147,0.3467336683417086,0.53125,0.49367088607594944,0.8268156424581006,0.28571428571428575,0.3,0.359,0.17948717948717952,0.7012987012987013,0.5263157894736842,0.10416666666666666,0.16666666666666669,0.25000000000000006,0.16666666666666663,0.33333333333333337
Danny Granger ,0.7368421052631577,0.6363636363636371,0.6615384615384616,0.5892857142857141,0.7314814814814816,0.18592964824120584,0.53125,0.518987341772152,0.793296089385475,0.9642857142857144,0.9571428571428571,0.404,0.0769230769230769,0.32467532467532473,0.23684210526315785,0.1354166666666667,0.25,0.4642857142857143,0.41666666666666674,0.7083333333333334
Kevin Durant ,0.8596491228070176,0.9191919191919196,0.6230769230769233,0.6607142857142857,0.7037037037037037,0.3316582914572863,0.546875,0.5443037974683544,0.751396648044693,0.4642857142857143,0.44285714285714284,0.422,0.15384615384615385,0.46753246753246763,0.35964912280701755,0.14583333333333334,0.37500000000000006,0.21428571428571427,0.625,0.16666666666666663
Kevin Martin ,0.4561403508771929,0.8383838383838391,0.5692307692307694,0.2678571428571429,0.4351851851851851,0.05025125628140703,1.0,0.9493670886075952,0.7625698324022345,0.8214285714285714,0.7714285714285715,0.415,0.051282051282051266,0.14285714285714285,0.10526315789473684,0.1354166666666667,0.3333333333333333,0.03571428571428572,0.5833333333333333,0.3749999999999999
Al Jefferson ,0.43859649122807015,0.6767676767676774,0.453846153846154,0.8035714285714283,0.7685185185185184,0.437185929648241,0.171875,0.2784810126582279,0.4022346368715086,0.0,0.014285714285714285,0.0,0.7692307692307694,0.7272727272727273,0.7543859649122806,0.020833333333333343,0.16666666666666669,0.5714285714285714,0.125,0.5833333333333334
Chris Paul ,0.9298245614035086,0.868686868686869,0.430769230769231,0.5178571428571427,0.4537037037037037,0.46733668341708556,0.5,0.49367088607594944,0.76536312849162,0.28571428571428575,0.3285714285714285,0.364,0.12820512820512822,0.3636363636363637,0.27192982456140347,1.0000000000000002,1.0,0.0,0.625,0.5416666666666669
Carmelo Anthony ,0.7192982456140351,0.464646464646465,0.430769230769231,0.5178571428571427,0.6574074074074074,0.16582914572864338,0.46875,0.5443037974683544,0.5558659217877098,0.35714285714285715,0.37142857142857144,0.371,0.30769230769230776,0.42857142857142866,0.38596491228070173,0.20833333333333334,0.2916666666666667,0.10714285714285715,0.625,0.6666666666666666
Chris Bosh ,0.9122807017543859,0.8282828282828287,0.42307692307692313,0.4999999999999999,0.4814814814814814,0.38693467336683396,0.609375,0.6582278481012659,0.6229050279329609,0.07142857142857144,0.0857142857142857,0.245,0.6153846153846154,0.6883116883116884,0.6666666666666666,0.11458333333333334,0.20833333333333331,0.32142857142857145,0.33333333333333326,0.45833333333333337
Brandon Roy ,0.9298245614035086,0.7373737373737379,0.4153846153846157,0.5178571428571427,0.5277777777777777,0.3517587939698492,0.421875,0.4683544303797469,0.6424581005586594,0.3928571428571429,0.39999999999999997,0.377,0.23076923076923078,0.19480519480519481,0.2017543859649123,0.38541666666666663,0.2916666666666667,0.07142857142857142,0.16666666666666663,0.08333333333333337
Antawn Jamison ,0.9824561403508771,0.8383838383838391,0.3846153846153848,0.5535714285714285,0.6111111111111112,0.29145728643216096,0.25,0.35443037974683544,0.4469273743016762,0.5,0.557142857142857,0.351,0.5128205128205128,0.5974025974025974,0.5701754385964912,0.052083333333333315,0.3333333333333333,0.07142857142857142,0.0,0.5416666666666669
Tony Parker ,0.8245614035087718,0.42424242424242475,0.3692307692307695,0.6607142857142857,0.5833333333333333,0.4824120603015074,0.203125,0.2784810126582279,0.5251396648044693,0.10714285714285714,0.12857142857142856,0.292,0.0,0.10389610389610393,0.06140350877192985,0.5729166666666667,0.20833333333333331,0.0,0.4583333333333335,0.04166666666666663
Amare Stoudemire ,0.4912280701754386,0.6969696969696968,0.32307692307692304,0.4285714285714285,0.2685185185185184,0.6482412060301508,0.546875,0.569620253164557,0.6731843575418994,0.03571428571428572,0.014285714285714285,0.429,0.4615384615384616,0.5194805194805197,0.4999999999999999,0.0625,0.20833333333333331,0.3571428571428572,0.5416666666666667,0.7083333333333334
Joe Johnson ,0.9473684210526314,0.9696969696969702,0.32307692307692304,0.4642857142857141,0.6296296296296295,0.1356783919597988,0.1875,0.22784810126582278,0.6480446927374299,0.6785714285714286,0.7428571428571429,0.36,0.10256410256410259,0.2207792207792208,0.17543859649122812,0.45833333333333326,0.2916666666666667,0.03571428571428572,0.41666666666666674,0.33333333333333337
Devin Harris ,0.7719298245614035,0.6262626262626267,0.3153846153846156,0.2499999999999999,0.36111111111111116,0.14070351758793986,0.71875,0.7594936708860761,0.6312849162011174,0.32142857142857145,0.45714285714285713,0.291,0.0,0.12987012987012986,0.0789473684210526,0.5729166666666667,0.5416666666666667,0.03571428571428572,0.6666666666666667,0.41666666666666663
