,State,Count
0,California,115
1,Washington,30
2,Florida,21
3,Arizona,17
4,Texas,16
5,Illinois,16
6,Virginia,15
7,New York,15
8,Oregon,13
9,New Jersey,12
10,Colorado,12
11,Michigan,11
12,Georgia,9
13,Utah,9
14,Maryland,9
15,Nevada,7
16,Pennsylvania,7
17,Hawaii,7
18,North Carolina,7
19,Ohio,7
20,Massachusetts,6
21,Minnesota,6
22,Idaho,5
23,Montana,5
24,Missouri,5
25,Connecticut,5
26,South Carolina,4
27,Tennessee,4
28,Alabama,3
29,New Mexico,3
30,Alaska,3
31,Indiana,3
32,Wisconsin,2
33,Kansas,2
34,Vermont,1
35,New Hampshire,1
36,Delaware,1
37,Kentucky,1
38,Nebraska,1
39,Iowa,1
